Nom réel,CODE INSEE TXT,Surface km carré,Long,Lat,population
Tenay,01416,13.12,5.5,45.9167,1064
Bâgé-la-Ville,01025,39.68,4.95,46.3167,3257
Montmerle-sur-Saône,01263,4.16,4.76667,46.0833,3877
Courmangoux,01127,14.82,5.36667,46.3333,516
Baneins,01028,8.91,4.9,46.1167,594
Lagnieu,01202,27.25,5.35,45.9,7104
Attignat,01024,18.69,5.16667,46.2833,3435
Saint-André-de-Bâgé,01332,2.7,4.91667,46.3,749
Pont-de-Vaux,01305,7.54,4.93333,46.4333,2343
Ambérieu-en-Bugey,01004,24.6,5.35,45.95,14557
Peyzieux-sur-Saône,01295,8.66,4.81667,46.1167,653
Crozet,01135,27.47,6.01251,46.2806,2167
Seyssel,01407,2.4,5.83194,45.9597,1000
Beynost,01043,10.64,5,45.8333,4655
Versonnex,01435,5.89,6.09723,46.3023,2225
Saint-Laurent-sur-Saône,01370,0.53,4.83333,46.3,1799
Artemare,01022,3.75,5.7,45.8667,1214
Montracol,01264,14.56,5.11667,46.1833,1033
Parves,01286,5.53,5.75,45.75,959
Pugieu,01316,4.85,5.65,45.8167,161
Virieu-le-Grand,01452,12.55,5.65,45.85,1090
Saint-Rémy,01385,7.38,5.16667,46.1833,1008
Rancé,01318,9.53,4.86667,45.9667,719
Grièges,01179,14.87,4.85,46.25,1959
Grand-Corent,01177,7.13,5.43333,46.2,184
Outriaz,01282,5.91,5.55,46.0667,267
Montagnieu,01255,6.22,5.46667,45.8,597
Champagne-en-Valromey,01079,18.16,5.68333,45.9,847
Ambérieux-en-Dombes,01005,15.92,4.9,46,1658
La Boisse,01049,9.4,5.03333,45.85,2988
Parcieux,01285,3.14,4.81667,45.9167,1197
Saint-Didier-d'Aussiat,01346,15.22,5.06667,46.3,903
Saint-Nizier-le-Bouchoux,01380,28.3,5.15,46.45,699
Ars-sur-Formans,01021,5.5,4.81667,45.9833,1400
Anglefort,01010,29.26,5.80833,45.9167,1160
Corlier,01121,5.45,5.5,46.0333,115
Ferney-Voltaire,01160,4.78,6.11667,46.25,9551
Saint-Maurice-de-Rémens,01379,10.35,5.28333,45.95,754
Châtillon-la-Palud,01092,14.01,5.25,45.9667,1644
Saint-Sulpice,01387,5.26,5.04167,46.3203,219
Saint-Bois,01340,9.42,5.63333,45.7,0
Virignin,01454,7.88,5.71667,45.7167,1083
Prémillieu,01311,8.51,5.56667,45.8667,46
Genouilleux,01169,4.08,4.78333,46.1167,594
Reyssouze,01323,9.54,4.91667,46.4333,984
Collonges,01109,16.25,5.9,46.1333,2210
Saint-Germain-de-Joux,01357,11.27,5.73333,46.1833,494
Brégnier-Cordon,01058,11,5.61667,45.65,884
Saint-Martin-le-Châtel,01375,12.77,5.11667,46.2833,829
Marignieu,01234,3.55,5.71667,45.8,179
Neyrolles,01274,9.5,5.63333,46.1333,651
Sulignat,01412,10.8,4.96667,46.1667,579
Bény,01038,18.25,5.28333,46.3333,749
Injoux-Génissiat,01189,29.61,5.78333,46.05,1178
Chanay,01082,18.1,5.78333,46,656
Châtillon-sur-Chalaronne,01093,17.98,4.96667,46.1167,5164
Farges,01158,14.28,5.91667,46.1667,987
Saint-Alban,01331,8.08,5.45,46.1,175
Curtafond,01140,12.41,5.08333,46.2667,779
Viriat,01451,45.03,5.21667,46.25,6438
Belleydoux,01035,17.63,5.76667,46.25,330
Bâgé-le-Châtel,01026,0.88,4.93333,46.3,935
Sainte-Olive,01382,7.39,4.93333,46.0167,292
Saint-Genis-sur-Menthon,01355,11.55,5.01667,46.2833,485
Domsure,01147,15.2,5.3,46.4167,485
Chavannes-sur-Suran,01095,21.5,5.41667,46.2667,655
Priay,01314,15.77,5.28333,46,1694
Peyrieu,01294,14.13,5.67751,45.6767,853
Lalleyriat,01204,15.25,5.71667,46.15,716
Sergy,01401,9.46,6,46.25,2062
Saint-Martin-du-Frêne,01373,19.14,5.55,46.1333,1128
Saint-Maurice-de-Beynost,01376,6.99,4.96667,45.8333,4029
Servas,01405,13.05,5.16667,46.1333,1235
Cuzieu,01141,4.87,5.67445,45.8192,428
Jayat,01196,16.3,5.11667,46.3667,1139
Lavours,01208,6.3,5.76667,45.8,143
Chevroux,01102,17.2,4.95,46.3833,971
Pollieu,01302,3.71,5.75,45.8,164
Béligneux,01032,13.3,5.11667,45.8667,3384
Brénaz,01059,9.79,5.71667,45.95,97
Bénonces,01037,15.33,5.48333,45.8333,286
Saint-Jean-le-Vieux,01363,15.33,5.38917,46.0284,1765
Beauregard,01030,0.94,4.75139,46.002,910
Oyonnax,01283,36.18,5.66667,46.25,23085
Mionnay,01248,19.62,4.93333,45.9,2174
Germagnat,01172,9.48,5.45,46.3167,154
Coligny,01108,16.87,5.35,46.3833,1220
Simandre-sur-Suran,01408,16.3,5.41667,46.2167,715
L'Abergement-Clémenciat,01001,15.95,4.91667,46.15,785
Lescheroux,01212,20.05,5.15,46.4,722
Ornex,01281,5.64,6.1,46.2833,4422
Dommartin,01144,17.19,4.99167,46.3417,900
Lompnas,01219,12.69,5.51667,45.8,168
Bettant,01041,3.37,5.36667,45.9333,762
Armix,01019,6.82,5.58333,45.85,23
Feillens,01159,14.91,4.88333,46.3333,3336
Chavornay,01097,7.77,5.7,45.8833,227
Challex,01078,8.67,5.96667,46.1833,1393
Vongnes,01456,2.05,5.71667,45.8167,78
Magnieu,01227,6.23,5.71667,45.7833,469
Groissiat,01181,6.32,5.6,46.2167,1218
Dompierre-sur-Chalaronne,01146,4.78,4.9,46.1333,426
Montluel,01262,40.11,5.05,45.85,7140
Le Poizat,01300,17.9,5.7,46.15,0
Hostiaz,01186,10.6,5.53333,45.9,88
Montanges,01257,13.7,5.8,46.1667,351
Sainte-Julie,01366,11.15,5.28333,45.8833,975
Bey,01042,2.77,4.85,46.2167,279
Sonthonnax-la-Montagne,01410,14.14,5.53333,46.2333,334
Mézériat,01246,19.17,5.03333,46.2333,2175
Bellignat,01031,7.83,5.61667,46.25,3862
Saint-Marcel,01371,11.64,4.98723,45.9487,1371
Belley,01034,22.42,5.68333,45.7667,9354
Corbonod,01118,31.59,5.81667,45.95,1266
Neyron,01275,5.36,4.93223,45.8148,2508
Saint-Paul-de-Varax,01383,25.97,5.13333,46.1,1480
Pressiat,01312,6.01,5.38333,46.3333,0
Chazey-Bons,01098,10.59,5.68333,45.8,868
Servignat,01406,7.99,5.06667,46.4333,176
Marlieux,01235,16.85,5.06667,46.0667,1116
Andert-et-Condon,01009,6.94,5.65,45.8,347
Hautecourt-Romanèche,01184,21.6,5.41667,46.1583,816
Crottet,01134,12.12,4.9,46.2833,1764
Druillat,01151,20.72,5.31667,46.0667,1173
Dompierre-sur-Veyle,01145,29.1,5.2,46.0667,1197
Pérouges,01290,18.97,5.18333,45.9,1233
Rignieux-le-Franc,01325,15.02,5.18333,45.9333,986
Giron,01174,9.39,5.76667,46.2333,180
Cerdon,01068,12.3,5.46667,46.0833,776
Cruzilles-lès-Mépillat,01136,11.84,4.88333,46.2167,854
Lélex,01210,17.63,5.95,46.3,240
Lhôpital,01215,3.68,5.77834,46.0217,50
Ségny,01399,3.24,6.08333,46.3,1992
Cheignieu-la-Balme,01100,6.26,5.61667,45.8333,145
Saint-Vulbas,01390,21.44,5.28333,45.8333,1141
Échallon,01152,28.09,5.74139,46.21,784
Le Montellier,01260,15.38,5.06667,45.9333,281
Martignat,01237,13.25,5.6,46.2167,1637
Ceyzériat,01072,9.36,5.31667,46.1667,3153
Montcet,01259,6.68,5.11667,46.2,678
Vonnas,01457,17.81,5,46.2167,2981
Buellas,01065,10.21,5.13333,46.2,1804
Saint-Bénigne,01337,16.49,4.96667,46.4333,1264
Chevillard,01101,6.67,5.58333,46.1167,167
Bouligneux,01052,26.09,5,46.0167,303
Contrevoz,01116,14.18,5.63333,45.8,523
Champdor,01080,17.37,5.6,46.0167,688
Port,01307,4.25,5.56667,46.1667,875
Surjoux,01413,4.31,5.8,46.0167,75
Champfromier,01081,32.4,5.81667,46.2,745
Vésines,01439,3.88,4.86667,46.35,101
Seillonnaz,01400,9.59,5.48333,45.8,143
Varambon,01430,7.99,5.31667,46.0333,543
Le Grand-Abergement,01176,31.92,5.66667,46.0333,0
Jassans-Riottier,01194,4.81,4.75,45.9833,6345
Asnières-sur-Saône,01023,4.68,4.88333,46.3833,69
Condamine,01112,4.64,5.56667,46.1167,454
Lhuis,01216,24.43,5.53333,45.75,904
Romans,01328,22.32,5.03333,46.1167,607
Pizay,01297,11.18,5.08333,45.8833,759
Certines,01069,15.92,5.26667,46.1333,1512
Ruffieu,01330,14.03,5.66667,46,191
Meximieux,01244,13.75,5.2,45.9,7692
Saint-Rambert-en-Bugey,01384,28.55,5.43333,45.95,2318
Ambronay,01007,33.55,5.35,46,2678
Cize,01106,4.52,5.43333,46.2,180
Saint-Germain-sur-Renon,01359,15.8,5.05,46.0833,236
Villette-sur-Ain,01449,19.38,5.26862,45.9884,715
Dagneux,01142,6.65,5.06667,45.85,4502
Boissey,01050,9.05,5,46.3833,330
Salavre,01391,7.77,5.35,46.3667,299
Brion,01063,4.48,5.55251,46.1728,521
Labalme,01200,8.8,5.48333,46.1,212
Sauverny,01397,1.89,6.11667,46.3167,1085
Montceaux,01258,10.03,4.8,46.1,1248
Brénod,01060,23.79,5.6,46.0667,563
Misérieux,01250,7.41,4.81667,45.9833,2110
Prévessin-Moëns,01313,12.07,6.08333,46.25,7896
Lent,01211,31.48,5.2,46.1167,1451
Marsonnas,01236,18.38,5.06667,46.3333,1003
Manziat,01231,12.63,4.9,46.35,2030
Trévoux,01427,5.71,4.76667,45.9333,6911
Bellegarde-sur-Valserine,01033,15.25,5.81667,46.1,12052
Bourg-en-Bresse,01053,23.86,5.21667,46.2,42937
Confort,01114,11.66,5.81667,46.15,582
Saint-Denis-lès-Bourg,01344,12.58,5.2,46.2,5695
Massignieu-de-Rives,01239,9.52,5.76667,45.75,650
Saint-Étienne-sur-Chalaronne,01351,20.99,4.86667,46.15,1571
Bohas-Meyriat-Rignat,01245,23.51,5.4,46.1333,911
Chevry,01103,5.84,6.03333,46.2833,1511
Fareins,01157,8.22,4.76667,46.0167,2231
Gorrevod,01175,6.88,4.95,46.4167,863
Valeins,01428,4.36,4.86667,46.1167,137
Vieu-d'Izenave,01441,23.73,5.53333,46.0833,695
Toussieux,01423,4.74,4.83333,45.9667,848
Arbigny,01016,17.47,4.96667,46.4667,446
Malafretaz,01229,9.19,5.15,46.3167,1170
Samognat,01392,14.01,5.58333,46.25,699
Cras-sur-Reyssouze,01130,13.83,5.16667,46.3,1439
Messimy-sur-Saône,01243,5.95,4.76473,46.0484,1257
Pougny,01308,7.77,5.95,46.1333,830
Sandrans,01393,29.02,4.98333,46.0667,519
Pont-de-Veyle,01306,1.94,4.88333,46.2667,1689
Mijoux,01247,22,6,46.3667,361
Saint-Jean-de-Gonville,01360,12.36,5.95,46.2167,1643
Saint-André-le-Bouchoux,01335,9.32,5.08333,46.1167,369
Chaneins,01083,12.63,4.85,46.1,878
Joyeux,01198,16.58,5.1,45.95,280
Tramoyes,01424,12.93,4.96667,45.8667,1709
Biziat,01046,11.39,4.93333,46.2167,833
Izenave,01191,13.04,5.53333,46.0333,178
Belmont-Luthézieu,01036,19.77,5.66167,45.8795,559
Arbent,01014,23.49,5.68333,46.3,3533
Sutrieu,01414,19.05,5.65,45.95,215
Serrières-de-Briord,01403,8.03,5.45445,45.8081,1304
Aranc,01012,21.65,5.5,46,332
Chaley,01076,4.6,5.53333,45.95,154
Curciat-Dongalon,01139,23.94,5.15,46.4667,457
Loyettes,01224,21.28,5.2,45.7667,3187
Gex,01173,32.02,6.06667,46.3333,11453
Courtes,01128,9.06,5.1,46.4667,293
Béréziat,01040,10.83,5.05,46.3667,483
Lapeyrouse,01207,20.04,4.96667,45.9833,347
Apremont,01011,14.57,5.65833,46.2083,405
Villieu-Loyes-Mollon,01450,15.91,5.22223,45.9206,3496
Leyment,01213,14.18,5.3,45.9167,1264
Étrez,01154,12.15,5.18333,46.3333,840
Gercy,02341,6.33,3.86667,49.8167,293
Villemontoire,02804,7.65,3.33333,49.3,197
Brancourt-le-Grand,02112,13.14,3.38333,49.9667,614
Licy-Clignon,02428,4.09,3.26667,49.1,78
Proisy,02624,5.2,3.73333,49.9,369
Chambry,02157,8.89,3.65,49.6,812
Mont-Saint-Jean,02522,3.97,4.2,49.7833,78
Morgny-en-Thiérache,02526,6.99,4.06667,49.7667,94
Mesnil-Saint-Laurent,02481,5.45,3.35,49.8333,461
Annois,02019,5.9,3.16667,49.7167,385
Brunehamel,02126,8.9,4.18333,49.7667,526
Audignicourt,02034,5.66,3.13333,49.4833,105
Montigny-sur-Crécy,02517,8.53,3.58333,49.7167,339
Lor,02440,8.87,4.05,49.5333,154
Chivres-en-Laonnois,02189,13.56,3.85,49.6333,386
Saint-Gobain,02680,29.73,3.38333,49.6,2299
Ugny-le-Gay,02754,5.9,3.16667,49.6667,173
Happencourt,02367,5.18,3.18333,49.7833,146
Prouvais,02626,18.22,3.98333,49.4667,334
Azy-sur-Marne,02042,2.78,3.36667,49,403
Terny-Sorny,02739,7.07,3.36667,49.45,327
Droizy,02272,5.42,3.38333,49.2833,73
Pignicourt,02601,7.01,4.03333,49.4167,197
Moussy-Verneuil,02531,6.43,3.63333,49.4167,125
Aguilcourt,02005,10.57,3.96667,49.4,414
Montaigu,02498,23.51,3.83333,49.5333,764
Moulins,02530,1.6,3.68333,49.4167,80
Saulchery,02701,2.63,3.3,48.9833,722
Nanteuil-la-Fosse,02537,7.36,3.45,49.4333,180
Guignicourt,02360,17.74,3.96667,49.4333,2250
Bucy-le-Long,02131,12.86,3.38333,49.4,1973
Longpont,02438,10.94,3.21667,49.2667,287
Montgobert,02506,11.18,3.15,49.3,205
Noircourt,02556,5.45,4.1,49.6667,83
Rozet-Saint-Albin,02662,7.95,3.3,49.2,306
Chivy-lès-Étouvelles,02191,3.54,3.58333,49.5167,507
Chavonne,02176,3.62,3.56667,49.4,209
Artonges,02026,13.12,3.55,48.9333,0
Oisy,02569,10.79,3.66667,50.0167,464
Juvigny,02398,13.85,3.31667,49.45,288
Marchais-en-Brie,02458,12.78,3.48333,48.8833,851
